Name,UUID,Amount,Unit,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],N2O [kg],CH4 [kg],Electricity_GWP (AR5),Electricity_AP,Electricity_EP,Electricity_ODP,Electricity_POCP,Electricity_CO2,Electricity_N2O,Electricity_CH4,Electricity_qty,Electricity_unit,Waste_GWP (AR5),Waste_AP,Waste_EP,Waste_ODP,Waste_POCP,Waste_CO2,Waste_N2O,Waste_CH4,Waste_qty,Waste_unit
"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA",f41111d1-1668-325a-abd2-a40af161e35d,1.0,MJ,0.21005005404497998,0.00038237310022662277,2.257837998606023e-05,1.8639113669385493e-09,0.009461118790526987,0.20043637986576923,2.1655274737086797e-06,0.0003216968219424151,0.21005005404497998,0.00038237310022662277,2.257837998606023e-05,1.8639113669385493e-09,0.009461118790526987,0.20043637986576923,2.1655274737086797e-06,0.0003216968219424151,1.0,MJ,0,0,0,0,0,0,0,0,0,N/A
petroleum extraction and processing - DFO PADD 1,28a4dbbe-c940-3d65-a006-cbacbda7d2fb,1.0,MJ,0.025159173477587615,3.0666972875820304e-05,1.795767629366402e-06,2.2217839596461036e-11,0.0007483017844050325,0.02034127516474295,1.7730368554808533e-07,0.00017016845938106037,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A
natural gas extraction and processing - Uinta,39c5666d-d128-3ccc-8c39-813b27342e0e,1.0,MJ,0.01626510695431954,8.440957932515806e-05,5.22389446592562e-06,0.0,0.002920711694917292,0.009638416255043393,1.2773391130674882e-07,0.00023545861469101163,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A
Electricity; at grid; generation mix - Tampa Electric Company,e596ff4f-6050-3c0b-9689-e65620b395a3,1.0,MJ,0.20577661477581977,0.0004224188016202234,2.193813406459608e-05,1.7883524363413103e-09,0.009211201237341302,0.1955131115366561,2.41615292956116e-06,0.0003425326389965073,0.20577661477581977,0.0004224188016202234,2.193813406459608e-05,1.7883524363413103e-09,0.009211201237341302,0.1955131115366561,2.41615292956116e-06,0.0003425326389965073,1.0,MJ,0,0,0,0,0,0,0,0,0,N/A
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,a9420547-6281-38fe-bb48-a32546ed849f,1.0,MJ,0.13887486712706437,0.00029456704883182403,1.3037912695672429e-05,2.1197154584461448e-09,0.004778404452825846,0.1329032843282786,1.7389934699664886e-06,0.00019485381195128145,0.13887486712706437,0.00029456704883182403,1.3037912695672429e-05,2.1197154584461448e-09,0.004778404452825846,0.1329032843282786,1.7389934699664886e-06,0.00019485381195128145,1.0,MJ,0,0,0,0,0,0,0,0,0,N/A
"Electricity; at grid; generation mix - NaturEner Wind Watch, LLC",fdb04d8f-f47f-3ec0-9e65-c4afc66f38ed,1.0,MJ,0.005357785878758846,1.5080015347659509e-05,9.941729478234027e-06,2.718358847305042e-12,0.00016336585445605683,0.00500948889191063,1.85204323399188e-08,1.1778607938005568e-05,0.005357785878758846,1.5080015347659509e-05,9.941729478234027e-06,2.718358847305042e-12,0.00016336585445605683,0.00500948889191063,1.85204323399188e-08,1.1778607938005568e-05,1.0,MJ,0,0,0,0,0,0,0,0,0,N/A
natural gas extraction and processing - South Oklahoma,02ff55dd-7b02-307d-a1cf-1d6e8ead399c,1.0,MJ,0.020535483318146686,0.00017201548822429587,1.0767544793283435e-05,0.0,0.0060436216076334755,0.014763596140891976,1.2687492719234086e-07,0.00020493804714723758,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A
Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,eb5a96ac-8afe-33f5-9d84-989feb43565e,1.0,MJ,0.14563451983226253,0.0002370670464415379,1.3860976955771797e-05,1.662426460102759e-09,0.0050368398219122704,0.13967848873633718,2.0102113160118155e-06,0.00019186722866683847,0.14563451983226253,0.0002370670464415379,1.3860976955771797e-05,1.662426460102759e-09,0.0050368398219122704,0.13967848873633718,2.0102113160118155e-06,0.00019186722866683847,1.0,MJ,0,0,0,0,0,0,0,0,0,N/A
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",b42ca74f-a649-32d5-9a9f-6a9846e7af51,1.0,MJ,0.18110686248134292,0.0005124120883296153,2.6743847861918645e-05,2.127460284181732e-09,0.011747768003185579,0.1705349156141438,1.6778511182891537e-06,0.00036038913849271217,0.18110686248134292,0.0005124120883296153,2.6743847861918645e-05,2.127460284181732e-09,0.011747768003185579,0.1705349156141438,1.6778511182891537e-06,0.00036038913849271217,1.0,MJ,0,0,0,0,0,0,0,0,0,N/A
Electricity; at grid; consumption mix - Southwestern Power Administration - BA,ec5c89b7-509e-3fd7-9308-f51554c1b529,1.0,MJ,0.07974161099913006,0.0002714082612640945,7.272830918504703e-06,1.7758478912955031e-09,0.0021952777725843847,0.07718155814530837,1.1402966244034409e-06,8.02450219350805e-05,0.07974161099913006,0.0002714082612640945,7.272830918504703e-06,1.7758478912955031e-09,0.0021952777725843847,0.07718155814530837,1.1402966244034409e-06,8.02450219350805e-05,1.0,MJ,0,0,0,0,0,0,0,0,0,N/A
