Name,UUID,Amount,Unit,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],N2O [kg],CH4 [kg],electricity_GWP (AR5),electricity_AP,electricity_EP,electricity_ODP,electricity_POCP,electricity_CO2,electricity_N2O,electricity_CH4,electricity_qty,electricity_unit,nonrenewable fuel combustion_GWP (AR5),nonrenewable fuel combustion_AP,nonrenewable fuel combustion_EP,nonrenewable fuel combustion_ODP,nonrenewable fuel combustion_POCP,nonrenewable fuel combustion_CO2,nonrenewable fuel combustion_N2O,nonrenewable fuel combustion_CH4,nonrenewable fuel combustion_qty,nonrenewable fuel combustion_unit,renewable fuel combustion_GWP (AR5),renewable fuel combustion_AP,renewable fuel combustion_EP,renewable fuel combustion_ODP,renewable fuel combustion_POCP,renewable fuel combustion_CO2,renewable fuel combustion_N2O,renewable fuel combustion_CH4,renewable fuel combustion_qty,renewable fuel combustion_unit
Electricity; at user; consumption mix - NorthWestern Corporation - BA,d640a8aa-93b2-3d0e-8012-24b79ead9694,1.0,MJ,0.2094754658131397,0.000393543696575145,1.580431848424954e-05,4.828764771768476e-09,0.006271156877175132,0.20544470950463045,3.1549011742507902e-06,0.00011274629920847428,0.2094754658131397,0.000393543696575145,1.580431848424954e-05,4.828764771768476e-09,0.006271156877175132,0.20544470950463045,3.1549011742507902e-06,0.00011274629920847428,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Electricity; at grid; consumption mix - Seminole Electric Cooperative - BA,db2921f6-74d4-3e2f-9524-417d2e19c826,1.0,MJ,0.23826007086347045,0.0003683139722551601,1.5880320952480237e-05,3.6167272615911398e-09,0.006228390325063158,0.22918081447780134,3.248360805139835e-06,0.0002922408893506119,0.23826007086347045,0.0003683139722551601,1.5880320952480237e-05,3.6167272615911398e-09,0.006228390325063158,0.22918081447780134,3.248360805139835e-06,0.0002922408893506119,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Electricity; at grid; generation mix - Imperial Irrigation District,c9a7d4cf-7c57-3fe5-9d83-acbfb3434148,1.0,MJ,0.08403075235405232,9.406342566189883e-05,5.213162520594297e-06,5.474388028046168e-11,0.00245186925494973,0.07216582926760381,1.1989894113915485e-06,0.00041202645058949607,0.08403075235405232,9.406342566189883e-05,5.213162520594297e-06,5.474388028046168e-11,0.00245186925494973,0.07216582926760381,1.1989894113915485e-06,0.00041202645058949607,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,c69563ec-887a-35ca-acc5-820ae0ba5f72,1.0,MJ,0.14502201954085156,0.0003076057547021379,1.3615022421542551e-05,2.2135424716882684e-09,0.004989915585645614,0.13878611080336234,1.8159682180084362e-06,0.00020347881448234433,0.14502201954085156,0.0003076057547021379,1.3615022421542551e-05,2.2135424716882684e-09,0.004989915585645614,0.13878611080336234,1.8159682180084362e-06,0.00020347881448234433,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Electricity; at grid; generation mix - PUD No. 1 of Douglas County,c714a6f6-3aa6-3607-9613-076dde33909b,1.0,MJ,0.00019310254934356294,1.0928595846177005e-25,2.8472206472187037e-27,0.0,1.1696724832428942e-09,0.00019082494172640668,6.428585791868827e-26,8.134312918415265e-08,0.00019310254934356294,1.0928595846177005e-25,2.8472206472187037e-27,0.0,1.1696724832428942e-09,0.00019082494172640668,6.428585791868827e-26,8.134312918415265e-08,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Electricity; at grid; consumption mix - El Paso Electric Company - BA,a2a22977-2b95-358b-90ca-ca7f1fbeb167,1.0,MJ,0.20017500757280135,0.00038223526774601484,2.5554361381341487e-05,1.5008670105851835e-09,0.011785767573857634,0.18928784690966524,1.426238444997114e-06,0.0003739399717090332,0.20017500757280135,0.00038223526774601484,2.5554361381341487e-05,1.5008670105851835e-09,0.011785767573857634,0.18928784690966524,1.426238444997114e-06,0.0003739399717090332,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA",cd9c001f-0160-3ae9-82a5-81decd6beb4f,1.0,MJ,0.200217384898128,0.0003644738037837887,2.1521461713488436e-05,1.7766596693682225e-09,0.009018233635132574,0.19105373715628052,2.064156801493401e-06,0.00030663784740353613,0.200217384898128,0.0003644738037837887,2.1521461713488436e-05,1.7766596693682225e-09,0.009018233635132574,0.19105373715628052,2.064156801493401e-06,0.00030663784740353613,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Electricity; at user; consumption mix - Bonneville Power Administration - BA,c3096d7d-a9c4-3a39-9814-65304089d770,1.0,MJ,0.03394862274269211,7.701696705635582e-05,6.280591323457121e-06,6.933188654671603e-10,0.0019118661281038287,0.03233601779334576,3.6036812813027634e-07,5.362203068976368e-05,0.03394862274269211,7.701696705635582e-05,6.280591323457121e-06,6.933188654671603e-10,0.0019118661281038287,0.03233601779334576,3.6036812813027634e-07,5.362203068976368e-05,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",b42ca74f-a649-32d5-9a9f-6a9846e7af51,1.0,MJ,0.18110686248134292,0.0005124120883296153,2.6743847861918648e-05,2.127460284181732e-09,0.011747768003185579,0.1705349156141438,1.6778511182891537e-06,0.00036038913849271217,0.18110686248134292,0.0005124120883296153,2.6743847861918648e-05,2.127460284181732e-09,0.011747768003185579,0.1705349156141438,1.6778511182891537e-06,0.00036038913849271217,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA",f41111d1-1668-325a-abd2-a40af161e35d,1.0,MJ,0.21005005404497998,0.00038237310022662277,2.257837998606023e-05,1.8639113669385493e-09,0.009461118790526985,0.20043637986576923,2.1655274737086797e-06,0.0003216968219424151,0.21005005404497998,0.00038237310022662277,2.257837998606023e-05,1.8639113669385493e-09,0.009461118790526985,0.20043637986576923,2.1655274737086797e-06,0.0003216968219424151,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
natural gas extraction and processing - San Juan,c28e4f4e-efca-360e-9917-4062f8a1d5f0,1.0,MJ,0.022558377059500968,0.00010832813720397393,6.746542758481047e-06,0.0,0.0038369431026511612,0.01099807282474013,1.2651535030739839e-07,0.0004116706309105743,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
petroleum extraction and processing - DFO PADD 2,bdad9c51-928c-3577-b823-2c81a667c4fb,1.0,MJ,0.01820938227267376,1.7991291206555043e-05,1.0482366902337481e-06,2.0891216224977678e-11,0.0004844056699248744,0.014057213396692907,1.4689570949225e-07,0.00014665022503213224,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
