name,UUID,product_amount,unit,GWP (AR5),AP,EP ,ODP,POCP,CO2,CH4,N20
Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,a32b02de-c81f-3fba-bb48-58f5f5d9c2c8,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Appalachian,ed3ccae2-578f-3b4a-bc73-e3e7b4be85cb,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",ff87ed0b-db00-312a-bca8-2b9f2d3b3456,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Uinta,39c5666d-d128-3ccc-8c39-813b27342e0e,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - ERCOT - FERC,b16ca0d0-3f5c-3a24-a398-3bda3ffe06bd,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; consumption mix - Arlington Valley, LLC - AVBA - BA",d7f09b44-a4d6-3b83-9a11-28e977c200ee,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Tucson Electric Power - BA,e06c46bf-e2d6-33bf-90e7-1f90eeb98dcb,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",afb0a8ed-7e33-37ec-aa70-2286f8f84935,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - Nevada Power Company - BA,f80d17d0-8756-3933-9b8f-67f55495b5db,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Seminole Electric Cooperative - BA,db2921f6-74d4-3e2f-9524-417d2e19c826,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
